ano;fase;ensino.medio;n.anuario
2003;inscrito;outros;418
2003;chamado;publica;6597
2003;chamado;particular;15051
2003;chamado;maior parte pub;607
2003;chamado;maior parte part;792
2003;chamado;meia publica;135
2003;chamado;supletivo;139
2003;chamado;outros;74
2003;matriculado;publica;2188
2003;matriculado;particular;5782
2003;matriculado;maior parte pub;198
2003;matriculado;maior parte part;271
2003;matriculado;meia publica;31
2003;matriculado;supletivo;36
2003;matriculado;outros;28
2004;inscrito;publica;54083
2004;inscrito;particular;56968
2004;inscrito;maior parte pub;8457
2004;inscrito;maior parte part;9677
2004;inscrito;meia publica;4522
2004;inscrito;supletivo;417
2004;inscrito;outros;244
2004;chamado;publica;7214
2004;chamado;particular;13466
2004;chamado;maior parte pub;1547
2004;chamado;maior parte part;2060
2004;chamado;meia publica;881
2004;chamado;supletivo;27
2004;chamado;outros;52
2004;matriculado;publica;2127
2004;matriculado;particular;5053
2004;matriculado;maior parte pub;529
2004;matriculado;maior parte part;695
2004;matriculado;meia publica;299
2004;matriculado;supletivo;4
2004;matriculado;outros;23
2005;inscrito;publica;57416
2005;inscrito;particular;68315
2005;inscrito;maior parte pub;3207
2005;inscrito;maior parte part;3897
2005;inscrito;meia publica;840
2005;inscrito;supletivo;1875
2005;inscrito;outros;270
2005;chamado;publica;7615
2005;chamado;particular;17386
2005;chamado;maior parte pub;578
2005;chamado;maior parte part;734
2005;chamado;meia publica;116
2005;chamado;supletivo;200
2005;chamado;outros;60
2005;matriculado;publica;2450
2005;matriculado;particular;6625
2005;matriculado;maior parte pub;187
2005;matriculado;maior parte part;240
2005;matriculado;meia publica;36
2005;matriculado;supletivo;61
2005;matriculado;outros;23
2006;inscrito;publica;68930
2006;inscrito;particular;72405
2006;inscrito;maior parte pub;3346
2006;inscrito;maior parte part;4027
2006;inscrito;meia publica;955
2006;inscrito;supletivo;1992
2006;inscrito;outros;284
2006;chamado;publica;6923
2006;chamado;particular;18178
2006;chamado;maior parte pub;568
2006;chamado;maior parte part;760
2006;chamado;meia publica;131
2006;chamado;supletivo;168
2006;chamado;outros;60
2006;matriculado;publica;2374
2006;matriculado;particular;7001
2006;matriculado;maior parte pub;221
2006;matriculado;maior parte part;274
2006;matriculado;meia publica;50
2006;matriculado;supletivo;54
2006;matriculado;outros;21
2007;inscrito;publica;48078
2007;inscrito;particular;69013
2007;inscrito;maior parte pub;2434
2007;inscrito;maior parte part;3488
2007;inscrito;meia publica;540
2007;inscrito;supletivo;1091
2007;inscrito;outros;685
2007;chamado;publica;9986
2007;chamado;particular;21301
2007;chamado;maior parte pub;637
